category,item,qty,unit_usd,ext_usd,role,notes
core,ESP32-S3-DevKitC-1 clone N16R8 (16MB flash/8MB octal PSRAM),1,13.00,13.00,main controller,Amazon/AliExpress; Adafruit #5336 N8R8 ($19.95) alternate
core,DS3231 RTC module with CR2032/CR1220 battery,1,4.00,4.00,timekeeping,Adafruit #3013 ($17.50) alternate
core,microSD SPI breakout,1,2.50,2.50,storage,Adafruit #254 ($7.50) alternate
core,ADS1115 16-bit 4-ch I2C ADC module,1,4.00,4.00,analog sensing,Adafruit #1085 ($14.95) alternate; mandatory for CT bias readings
core,MAX31855 K-type thermocouple amplifier module,1,7.00,7.00,thermocouple readout,Adafruit #269 ($14.95) alternate
core,Panel-mount LED 5mm w/ holder,3,0.70,2.10,status indicators,recording / error / card status
core,12mm momentary pushbutton panel-mount,2,2.50,5.00,user input,event-journal + spare
core,UL-listed 5V/3A USB-C wall adapter,1,10.00,10.00,power inlet,plugs into separate outlet; DC-only enters enclosure
core,IP65 ABS enclosure ~200x150x75mm,1,12.00,12.00,main housing,
core,JST-SM connector kit (2/3/4-pin pairs),1,7.00,7.00,pod detach points,one per pod pair
core,Terminal blocks perfboard standoffs hookup wire,1,8.00,8.00,wiring infrastructure,
core,Cable glands PG7/PG9 assortment,1,4.00,4.00,sealed pass-throughs,sensor cable inlets
consumable,SCT-013-020 split-core CT 20A/1V built-in burden,2,6.00,12.00,current sensing,beater-motor leg + compressor leg; see risks in bom.md
consumable,CT bias network parts (resistors 3.5mm jacks),1,2.00,2.00,analog conditioning,
consumable,ADXL345 breakout (GY-291),2,4.00,8.00,vibration sensing,beater drive + compressor shell; potted in pod enclosure
consumable,Shielded Cat5e patch cable 1m,2,4.00,8.00,pod interconnect,30-80cm active runs to logger
consumable,DS18B20 waterproof probe,4,3.50,14.00,temperature chain,cylinder jacket condenser air-in condenser air-out ambient
consumable,K-type thermocouple probe >=200C washer/compression style,1,10.00,10.00,discharge-line temp,see wiring section for mounting strategy
consumable,AC-presence optocoupler module (isolated TTL out),2,2.50,5.00,voltage sensing,120V beater leg + 24V contactor coil; bench-verify 24V threshold
consumable,Pod mini-enclosure + mounting (epoxy stud/adhesive),2,3.00,6.00,pod housing,sealed potted electronics + strain-relieved cable
consumable,Misc heat-shrink epoxy kapton tape zip ties,1,5.00,5.00,assembly aids,cable dressing conformal protection (optional)
optional,3rd SCT-013-020 CT,1,6.00,6.00,current sensing,whole-machine draw measurement
optional,TCC-microswitch + HP-switch opto taps (2 modules),1,5.00,5.00,voltage sensing,state machine monitoring
optional,Hopper DS18B20 probe,1,3.50,3.50,temperature sensing,product temperature tracking during fill cycles
optional,P82B715 I2C buffer modules x4,1,12.00,12.00,signal conditioning,install if pod cable runs exceed ~1m or bench test shows glitches
optional,GX16 aviation bulkhead connector upgrade x7,1,17.50,17.50,connectors,field-rugged pod/sensor detach; replaces JST-SM kit
optional,Conformal coating spray can,1,20.00,20.00,assembly aids,amortized across multiple builds; optional moisture/grease barrier for core board
optional,Spare pod kit (ADXL345 + mini-enclosure + pigtail),1,15.00,15.00,consumable spare,swap contaminated pod in <5 min without field rework
optional,RS-485 fallback parts: 2x Seeed XIAO RP2040 + 4x MAX485 module,1,16.80,16.80,signal conditioning,in-pod digital bridge if I2C pod cable runs prove fundamentally unreliable
